"Month","Da Nang","Ha Noi","Ho Chi Minh"
"1890-01",,15.7,
"1890-02",,22.1,
"1890-03",,19.2,
"1890-04",,25.7,
"1890-05",,29.5,
"1890-06",,28.8,
"1890-07",,30.0,
"1890-08",,29.0,
"1890-09",,26.7,
"1890-10",,24.8,
"1890-11",,22.3,
"1890-12",,22.2,
"1891-01",,21.1,
"1891-02",,16.8,
"1891-03",,19.6,
"1891-04",,23.4,
"1891-05",,30.3,
"1891-06",,29.8,
"1891-07",,28.5,
"1891-08",,27.3,
"1891-09",,27.3,
"1891-10",,26.5,
"1891-11",,21.2,
"1891-12",,17.9,
"1892-01",,17.2,
"1892-02",,18.3,
"1892-03",,18.0,
"1892-04",,24.1,
"1892-05",,26.5,
"1892-06",,28.3,
"1892-07",,27.1,
"1892-08",,27.1,
"1892-09",,26.4,
"1893-01",,15.7,
"1893-02",,14.1,
"1893-03",,19.0,
"1893-04",,23.4,
"1893-05",,25.8,
"1893-07",,27.5,
"1893-10",,25.2,
"1897-01",,,27.3
"1897-02",,,28.2
"1897-03",,,29.1
"1897-04",,,29.1
"1897-05",,,29.2
"1897-06",,31.2,27.9
"1897-07",,29.1,27.4
"1897-08",,28.3,28.0
"1897-09",,28.1,27.1
"1897-10",,25.9,27.3
"1897-11",,21.7,26.1
"1897-12",,17.4,
"1898-01",,17.5,25.6
"1898-02",,20.1,27.1
"1898-03",,20.5,28.0
"1898-04",,23.2,28.6
"1898-05",,29.1,27.7
"1898-06",,30.6,27.7
"1898-07",,29.0,27.1
"1898-08",,28.3,27.9
"1898-09",,28.1,27.3
"1898-10",,25.0,26.7
"1898-11",,21.0,25.6
"1898-12",,17.8,24.3
"1899-01",,15.4,25.2
"1899-02",,17.0,25.6
"1899-03",,20.1,26.6
"1899-04",,23.4,28.4
"1899-05",,28.1,28.4
"1899-06",,29.0,27.7
"1899-07",,29.0,28.0
"1899-08",,29.3,27.8
"1899-09",,28.1,27.2
"1899-10",,26.2,26.9
"1899-11",,19.9,26.0
"1899-12",,21.8,25.6
"1900-01",,14.8,26.5
"1900-02",,14.7,27.5
"1900-03",,19.1,28.5
"1900-04",,25.5,30.3
"1900-05",,28.2,28.8
"1900-06",,28.8,28.6
"1900-07",,29.5,27.9
"1900-08",,28.6,27.8
"1900-09",,27.7,27.1
"1900-10",,25.2,27.2
"1900-11",,23.2,26.6
"1900-12",,20.9,25.9
"1901-01",,21.3,26.9
"1901-02",,14.8,26.0
"1901-03",,19.9,27.9
"1901-04",,26.1,30.0
"1901-05",,28.9,28.2
"1901-06",,30.3,28.1
"1901-07",,28.7,27.3
"1901-08",,28.6,27.8
"1901-09",,27.9,27.6
"1901-10",,26.5,26.7
"1901-11",,22.5,26.2
"1901-12",,21.3,24.9
"1902-01",,,25.5
"1902-02",,,24.8
"1902-03",,,27.5
"1902-04",,24.8,29.2
"1902-05",,28.9,29.0
"1902-06",,30.7,28.0
"1902-07",,28.9,27.8
"1902-08",,28.7,27.8
"1902-09",,28.8,26.9
"1902-10",,25.5,26.9
"1902-11",,23.2,26.7
"1902-12",,18.9,26.5
"1903-01",,16.6,26.5
"1903-02",,15.2,26.5
"1903-03",,21.8,28.0
"1903-04",,24.8,29.7
"1903-05",,27.8,29.7
"1903-06",,30.3,28.3
"1903-07",,29.4,27.5
"1903-08",,28.8,27.7
"1903-09",,27.7,27.1
"1903-10",,25.7,27.3
"1903-11",,20.6,26.1
"1903-12",,17.4,24.5
"1904-01",,17.8,25.8
"1904-02",,20.0,25.9
"1904-03",,20.3,27.7
"1904-04",,25.4,28.5
"1904-05",,27.2,28.3
"1904-06",,28.4,27.7
"1904-07",,28.5,28.1
"1904-08",,28.9,27.7
"1904-09",,27.6,27.3
"1904-10",,26.1,27.2
"1904-11",,20.8,26.2
"1904-12",,16.9,25.3
"1905-01",,21.0,26.5
"1905-02",,14.6,27.4
"1905-03",,18.8,28.3
"1905-04",,24.2,30.3
"1905-05",,27.6,29.4
"1905-06",,29.2,28.1
"1905-07",,28.9,27.4
"1905-08",,29.1,28.1
"1905-09",,26.5,27.4
"1905-10",,25.0,26.8
"1905-11",,21.1,26.5
"1905-12",,19.5,26.9
"1906-01",,16.4,27.1
"1906-02",,20.9,27.8
"1906-03",,20.7,28.9
"1906-04",,24.6,29.2
"1906-05",,28.3,28.6
"1906-06",,30.2,27.2
"1906-07",,30.9,27.6
"1906-08",,30.4,27.8
"1906-09",,28.5,27.6
"1906-10",,25.1,26.9
"1906-11",,21.3,25.7
"1906-12",,19.5,26.0
"1907-01",,18.9,25.3
"1907-02",,16.8,26.3
"1907-03",,21.7,27.7
"1907-04",,23.3,29.4
"1907-05",,27.8,28.4
"1907-06",,29.1,27.5
"1907-07",,29.9,27.5
"1907-08",,28.9,27.2
"1907-09",,28.3,27.9
"1907-10",,26.4,26.7
"1907-11",,22.2,26.5
"1907-12",,17.7,24.8
"1908-01",,18.7,25.9
"1908-02",,15.8,26.5
"1908-03",,19.0,27.5
"1908-04",,,28.5
"1908-05",,26.4,27.6
"1908-06",,28.2,26.8
"1908-07",,29.2,27.4
"1908-08",,,27.8
"1908-09",,,27.7
"1908-10",,,26.8
"1908-11",,,24.8
"1908-12",,,25.4
"1909-01",,16.9,26.1
"1909-02",,18.7,26.5
"1909-03",,19.9,27.9
"1909-04",,25.7,28.9
"1909-05",,26.7,28.7
"1909-06",,29.8,27.3
"1909-07",,29.2,26.5
"1909-08",,28.5,27.8
"1909-09",,28.6,27.4
"1909-10",,26.5,27.2
"1909-11",,21.0,26.1
"1909-12",,19.2,24.8
"1910-01",,18.4,26.2
"1910-02",,17.8,26.7
"1910-03",,20.2,27.7
"1910-04",,23.3,28.0
"1910-05",,27.8,27.6
"1910-06",,29.0,
"1910-07",,30.2,
"1910-08",,29.5,
"1910-09",,27.2,
"1910-10",,25.4,
"1910-11",,21.9,
"1910-12",,16.0,
"1911-01",,,26.9
"1911-02",,,26.9
"1911-03",,,27.9
"1911-04",,,28.5
"1911-05",,,28.7
"1911-06",,,27.7
"1911-07",,,27.5
"1911-08",,,27.8
"1911-09",,,27.8
"1911-10",,,27.2
"1911-11",,,27.6
"1911-12",,,27.9
"1912-01",,,27.9
"1912-02",,,28.0
"1912-03",,,28.7
"1912-04",,,30.0
"1912-05",,,30.3
"1912-06",,,28.8
"1912-07",,,27.2
"1912-08",,,28.1
"1912-09",,,28.1
"1912-10",,,26.8
"1912-11",,,26.2
"1912-12",,,26.0
"1913-01",,,25.9
"1913-02",,,26.8
"1913-03",,,27.9
"1913-04",,,28.8
"1913-05",,,27.7
"1913-06",,,27.7
"1913-07",,,27.2
"1913-08",,,27.3
"1913-09",,,27.4
"1913-10",,,27.0
"1913-11",,,26.8
"1913-12",,,26.2
"1914-01",,,25.9
"1914-02",,,27.0
"1914-03",,,28.3
"1914-04",,,28.9
"1914-05",,,29.3
"1914-06",,,27.8
"1914-07",,,26.7
"1914-08",,,27.2
"1914-09",,,27.6
"1914-10",,,27.7
"1914-11",,,27.5
"1914-12",,,26.9
"1915-01",,,26.7
"1915-02",,,27.2
"1915-03",,,28.4
"1915-04",,,29.5
"1915-05",,,29.0
"1915-06",,,28.0
"1915-07",,,27.9
"1915-08",,,28.3
"1915-09",,,27.7
"1915-10",,,26.8
"1915-11",,,26.7
"1915-12",,,25.0
"1916-01",,,25.2
"1916-02",,,25.9
"1916-03",,,27.2
"1916-04",,,28.8
"1916-05",,,28.0
"1916-06",,,27.2
"1916-07",,,27.3
"1916-08",,,27.4
"1916-09",,,26.9
"1916-10",,,26.3
"1916-11",,,25.5
"1916-12",,,25.1
"1917-01",,,25.2
"1917-02",,,26.1
"1917-03",,,27.8
"1917-04",,,28.8
"1917-05",,,27.7
"1917-06",,,27.6
"1917-07",,,27.3
"1917-08",,,27.7
"1917-09",,,25.9
"1917-10",,,25.9
"1917-11",,,25.4
"1917-12",,,25.2
"1918-01",,,23.6
"1918-02",,,25.9
"1918-03",,,26.3
"1918-04",,,27.9
"1918-05",,,28.0
"1918-06",,,27.0
"1918-07",,,27.9
"1918-08",,,27.4
"1918-09",,,27.6
"1918-10",,,27.5
"1918-11",,,27.5
"1918-12",,,26.8
"1919-01",,,27.2
"1919-02",,,27.6
"1919-03",,,28.6
"1919-04",,,29.6
"1919-05",,,28.6
"1919-06",,,27.4
"1919-07",,,27.4
"1919-08",,,27.5
"1919-09",,,27.5
"1919-10",,,26.9
"1919-11",,,26.4
"1919-12",,,26.0
"1920-01",,,24.9
"1920-02",,,27.1
"1920-03",,,28.1
"1920-04",,,29.2
"1920-05",,,28.6
"1920-06",,,27.4
"1920-07",,,27.2
"1920-08",,,27.8
"1920-09",,,26.9
"1920-10",,,26.7
"1920-11",,,27.3
"1920-12",,,26.4
"1921-01",,,25.9
"1921-02",,,26.4
"1921-03",,,27.4
"1921-04",,,28.4
"1921-05",,,27.9
"1921-06",,,27.0
"1921-07",,,26.9
"1921-08",,,27.9
"1921-09",,,26.8
"1921-10",,,26.8
"1921-11",,,24.8
"1921-12",,,26.2
"1922-01",,,27.2
"1922-02",,,27.6
"1922-03",,,27.5
"1922-04",,,28.1
"1922-05",,,28.2
"1922-06",,,27.3
"1922-07",,,26.7
"1922-08",,,27.6
"1922-09",,,26.6
"1922-10",,,26.9
"1922-11",,,26.6
"1922-12",,,25.7
"1923-01",,,25.6
"1923-02",,,25.9
"1923-03",,,27.4
"1923-04",,,28.5
"1923-05",,,27.3
"1923-06",,,27.3
"1923-07",,,27.1
"1923-08",,,27.0
"1923-09",,,26.9
"1923-10",,,26.9
"1923-11",,,27.0
"1923-12",,,26.5
"1924-01",,,27.2
"1924-02",,,27.9
"1924-03",,,28.1
"1924-04",,,28.9
"1924-05",,,28.4
"1924-06",,,27.0
"1924-07",,,26.7
"1924-08",,,27.7
"1924-09",,,27.3
"1924-10",,,25.9
"1924-11",,,25.4
"1924-12",,,24.7
"1925-01",,,26.1
"1925-02",,,25.6
"1925-03",,,27.2
"1925-04",,,27.9
"1925-05",,,27.9
"1925-06",,,27.1
"1925-07",,,26.6
"1925-08",,,27.1
"1925-09",,,27.2
"1925-10",,,26.8
"1925-11",,,26.8
"1925-12",,,25.7
"1926-01",,,26.2
"1926-02",,,27.2
"1926-03",,,28.3
"1926-04",,,29.6
"1926-05",,,29.8
"1926-06",,,27.5
"1926-07",,,27.3
"1926-08",,,27.0
"1926-09",,,27.2
"1926-10",,,26.9
"1926-11",,,26.3
"1926-12",,,26.3
"1927-01",,,26.5
"1927-02",,,26.8
"1927-03",,,27.9
"1927-04",,,28.3
"1927-05",,,27.3
"1927-06",,,26.9
"1927-07",,,26.9
"1927-08",,,27.3
"1927-09",,,27.2
"1927-10",,,26.3
"1927-11",,,26.4
"1927-12",,,26.0
"1928-01",,,26.5
"1928-02",,,26.8
"1928-03",,,27.9
"1928-04",,,26.7
"1928-05",,,27.3
"1928-06",,,26.1
"1928-07",,,26.9
"1928-08",,,27.3
"1928-09",,,25.7
"1928-10",,,25.2
"1928-11",,,25.7
"1928-12",,,25.1
"1929-01",,,24.7
"1929-02",,,26.3
"1929-03",,,26.3
"1929-04",,,27.5
"1929-05",,,28.1
"1929-06",,,26.7
"1929-07",,,26.1
"1929-08",,,26.6
"1929-09",,,26.6
"1929-10",,,26.0
"1929-11",,,26.0
"1929-12",,,25.8
"1930-01",,,26.2
"1930-02",,,26.2
"1930-03",,,27.8
"1930-04",,,28.8
"1930-05",,,27.6
"1930-06",,,27.0
"1930-07",,,27.2
"1930-08",,,27.6
"1930-09",,,27.4
"1930-10",,,27.4
"1930-11",,,26.8
"1930-12",,,26.8
"1931-01",,,26.3
"1931-02",,,27.1
"1931-03",,,27.7
"1931-04",,,28.8
"1931-05",,,27.5
"1931-06",,,27.1
"1931-07",,,26.7
"1931-08",,,27.0
"1931-09",,,26.9
"1931-10",,,25.5
"1931-11",,,25.5
"1931-12",,,25.8
"1932-01",,,24.6
"1932-02",,,25.9
"1932-03",,,26.1
"1932-04",,,27.4
"1932-05",,,27.6
"1932-06",,,26.8
"1932-07",,,25.9
"1932-08",,,27.8
"1932-09",,,26.1
"1932-10",,,26.2
"1932-11",,,26.0
"1932-12",,,25.0
"1933-01",,,26.0
"1933-02",,,25.8
"1933-03",,,26.4
"1933-04",,,27.6
"1933-05",,,28.4
"1933-06",,,26.9
"1933-07",,,26.9
"1933-08",,,26.9
"1933-09",,,26.3
"1933-10",,,25.6
"1933-11",,,25.8
"1933-12",,,25.2
"1934-01",,,25.1
"1934-02",,,25.2
"1934-03",,,26.2
"1934-04",,,27.1
"1934-05",,,26.3
"1934-06",,,27.1
"1934-07",,,26.8
"1934-08",,,26.9
"1934-09",,,26.3
"1934-10",,,26.2
"1934-11",,,26.0
"1934-12",,,24.6
"1935-01",,,25.9
"1935-02",,,26.3
"1935-03",,,27.1
"1935-04",,,27.9
"1935-05",,,26.8
"1935-06",,,26.7
"1935-07",,,26.0
"1935-08",,,27.1
"1935-09",,,26.6
"1935-10",,,26.7
"1935-11",,,26.5
"1935-12",,,26.5
"1936-01",,,25.7
"1936-02",,,27.2
"1936-03",,,27.5
"1936-04",,,28.2
"1936-05",,,28.2
"1936-06",,,26.9
"1936-07",,,26.5
"1936-08",,,27.0
"1936-09",,,26.8
"1936-10",,,26.2
"1936-11",,,26.0
"1936-12",,,26.7
"1937-01",,,26.0
"1937-02",,,26.7
"1937-03",,,27.8
"1937-04",,,28.5
"1937-05",,,27.3
"1937-06",,,27.4
"1937-07",,,26.5
"1937-08",,,27.0
"1937-09",,,26.4
"1937-10",,,26.0
"1937-11",,,26.6
"1937-12",,,26.0
"1938-01",,,26.2
"1938-02",,,26.7
"1938-03",,,27.5
"1938-04",,,28.1
"1938-05",,,27.6
"1938-06",,,26.5
"1938-07",,,26.7
"1938-08",,,27.3
"1938-09",,,26.5
"1938-10",,,26.0
"1938-11",,,25.3
"1938-12",,,25.6
"1939-01",,,25.8
"1939-02",,,25.6
"1939-03",,,26.9
"1939-04",,,27.7
"1939-05",,,26.5
"1939-06",,,26.6
"1939-07",,,27.1
"1939-08",,,27.0
"1939-09",,,26.5
"1939-10",,,26.3
"1939-11",,,26.3
"1939-12",,,24.2
"1940-01",,,24.7
"1940-02",,,25.5
"1940-03",,,26.7
"1940-04",,,28.2
"1940-05",,,27.6
"1940-06",,,26.9
"1940-07",,,26.8
"1940-08",,,26.4
"1940-09",,,26.7
"1940-10",,,26.5
"1940-11",,,26.4
"1940-12",,,25.4
"1941-01",24.0,,26.8
"1941-02",24.1,,27.4
"1941-03",24.7,,28.5
"1941-04",26.5,,30.0
"1941-05",27.7,,29.1
"1941-06",29.0,,28.0
"1941-07",29.8,,26.9
"1941-08",28.6,,27.0
"1941-09",27.0,,26.9
"1941-10",25.4,,26.9
"1941-11",23.9,,27.0
"1941-12",22.3,,26.1
"1942-01",21.4,,25.2
"1942-02",23.2,,27.3
"1942-03",25.0,,28.4
"1942-04",25.8,,28.0
"1942-05",28.0,,28.5
"1942-06",28.9,,27.4
"1942-07",29.6,,26.9
"1942-08",28.0,,26.8
"1942-09",26.2,,26.2
"1942-10",26.1,,26.2
